gene_set,target,rho_median,rho_q1,rho_q3,pct_consistent_sign,pct_spin_sig,n_cells,stable_sign,p_competitive,z_competitive
HALLMARK_OXIDATIVE_PHOSPHORYLATION,discordance_extraction,0.06122354798881545,0.027200406900980443,0.08506615444335607,0.8993055555555556,0.0,288,True,0.6654334566543346,-0.1595692076207635
HALLMARK_OXIDATIVE_PHOSPHORYLATION,discordance_overshoot,0.07009359964260933,0.03895013203247226,0.13265038206748692,0.9097222222222222,0.0,288,True,0.716928307169283,1.2689746746603692
HALLMARK_OXIDATIVE_PHOSPHORYLATION,macaque_vascular_CONTROL,0.06688426178581923,0.02741278703664833,0.09654296629024808,0.8680555555555556,0.0,288,True,0.7944205579442056,-0.832902446411455
astrocyte,baseline_oef,-0.10198619861986197,-0.14078307830783077,-0.07722472247224721,1.0,0.0,192,True,0.41345865413458655,-0.9072334805352814
astrocyte,coupling_angle,-0.09953379011370522,-0.12544254425442541,-0.0825982598259826,1.0,0.0,192,True,0.3070692930706929,-1.0119385917282708
astrocyte,discordance_extraction,-0.20167896618265663,-0.2419751447697099,-0.1700480551787385,1.0,0.0625,192,True,0.07029297070292971,-1.8313126219009521
astrocyte,discordance_overshoot,0.24550131111938062,0.20617496742846617,0.2830156350006268,1.0,0.15625,192,True,0.006999300069993001,2.5184522769504123
astrocyte,macaque_vascular_CONTROL,-0.2938898450946643,-0.32414151379035305,-0.244697722364487,1.0,0.015625,192,True,0.17248275172482752,-1.730451245548128
endothelial,baseline_oef,-0.02054807521568483,-0.037952233998910095,0.0010099071131602954,0.7395833333333334,0.0,192,False,0.8824117588241176,-0.23037367956926794
endothelial,coupling_angle,0.035169516951695165,0.012028202820282028,0.055205520552055194,0.8333333333333334,0.0,192,True,0.7767223277672233,0.288166584157301
endothelial,discordance_extraction,0.12371327196489024,0.10396465994018655,0.1513392184170984,1.0,0.0,192,True,0.31896810318968105,0.9836495440123351
endothelial,discordance_overshoot,-0.12906822779221178,-0.1453940631784478,-0.10968677301929872,1.0,0.0,192,True,0.31196880311968805,-0.9588938372699227
endothelial,macaque_vascular_CONTROL,0.4552297459291288,0.42647010807457475,0.4896782250955039,1.0,0.9895833333333334,192,True,0.09209079092090791,1.4176002895314348
glucose_lactate_transport,baseline_oef,-0.07341991341991341,-0.09735716428785735,-0.04527452745274527,0.9270833333333334,0.0,192,True,0.7252274772522748,-0.41319877040394554
glucose_lactate_transport,coupling_angle,0.04200015919959342,-0.007956183373439384,0.08554755475547553,0.6875,0.0,192,False,0.7758224177582241,0.24997871405144056
glucose_lactate_transport,discordance_extraction,0.20875962493161349,0.1488426758896331,0.25410935621667224,1.0,0.15104166666666666,192,True,0.059994000599940006,1.7338425086352964
glucose_lactate_transport,discordance_overshoot,-0.20230908896478209,-0.24417264174441677,-0.15766367754806782,1.0,0.09375,192,True,0.1044895510448955,-1.5573113220681312
glucose_lactate_transport,macaque_vascular_CONTROL,0.38237619467416706,0.3413510798906038,0.43162545652995254,1.0,0.609375,192,True,0.147985201479852,1.3486552882259752
glycolytic_enzymes,baseline_oef,-0.04453645364536453,-0.10548788552324619,-0.006846684668466846,0.7916666666666666,0.0,192,False,0.8861113888611138,-0.2444173888288294
glycolytic_enzymes,coupling_angle,-0.06189912868837904,-0.0756202048776306,-0.03502029794816216,0.90625,0.0,192,True,0.924907509249075,-0.10964898360998902
glycolytic_enzymes,discordance_extraction,4.8144975984920396e-05,-0.07500438994388914,0.07113871560921833,0.5,0.0,192,False,0.9458054194580542,0.004610335656689435
glycolytic_enzymes,discordance_overshoot,0.07374143783371903,0.022104137842853425,0.12035849542924612,0.84375,0.0,192,True,0.8983101689831017,0.2637130638473469
glycolytic_enzymes,macaque_vascular_CONTROL,-0.10790043643408322,-0.14635040354993337,-0.06726907630522087,0.9583333333333334,0.0,192,True,0.8049195080491951,-0.5147897442953516
interneuron_subclass,baseline_oef,-0.07959453088165958,-0.11628400595161556,-0.03144403215831787,0.8787878787878788,0.0,264,True,0.956904309569043,0.2183544715243219
interneuron_subclass,coupling_angle,-0.16547254725472546,-0.19573283858998144,-0.1454065406540654,1.0,0.10606060606060606,264,True,0.16598340165983402,-1.483752917869667
interneuron_subclass,discordance_extraction,0.011380268698435536,-0.03916643896597986,0.09152252060337394,0.5454545454545454,0.0,264,False,0.38176182381761825,-0.9308773137887223
interneuron_subclass,discordance_overshoot,0.1057778631116732,0.0020850024330683822,0.17155125121979617,0.7537878787878788,0.0,264,False,0.30646935306469353,1.0696606586809554
interneuron_subclass,macaque_vascular_CONTROL,-0.16161549022260158,-0.20901200621300534,-0.038542672431887824,0.8333333333333334,0.0,264,True,0.7176282371762823,-0.38644396861193175
pericyte_mural,baseline_oef,-0.3923246202171237,-0.41307714444913873,-0.3642370971791057,1.0,0.7083333333333334,192,True,0.00039996000399960006,-3.491560366141508
pericyte_mural,coupling_angle,-0.02353306759247353,-0.057812781278127806,0.029682611118254678,0.6458333333333334,0.0,192,False,0.7778222177782221,-0.25340828602315957
pericyte_mural,discordance_extraction,0.14823214389758282,0.1200404704354016,0.17725024267998268,1.0,0.0,192,True,0.2683731626837316,1.1088476917223917
pericyte_mural,discordance_overshoot,0.012994011150226328,-0.009376493625768562,0.0475188000402338,0.640625,0.0,192,False,0.9175082491750824,0.20543255145726186
pericyte_mural,macaque_vascular_CONTROL,-0.05783412395225501,-0.09199690749058954,-0.022725046527573713,0.9010416666666666,0.0,192,True,0.607039296070393,-0.7984236901798636
