name,n_genes,rho,p_competitive,null_mean,null_sd,z_competitive,n_draws,mean_stability,target
interneuron_subclass,4,-0.16374106332471394,0.38176182381761825,-0.008751229234695389,0.16649866936728894,-0.9308773137887223,10000,0.4522719333090908,discordance_extraction
interneuron_subclass,4,0.17209543891992996,0.30646935306469353,0.006646318028567744,0.1546744002863344,1.0696606586809554,10000,0.4522719333090908,discordance_overshoot
interneuron_subclass,4,-0.127032703270327,0.16598340165983402,0.00860835403540354,0.09141755050462202,-1.483752917869667,10000,0.4522719333090908,coupling_angle
interneuron_subclass,4,0.00696069606960696,0.956904309569043,-0.020375542754275427,0.12519202667593402,0.2183544715243219,10000,0.4522719333090908,baseline_oef
interneuron_subclass,4,-0.17908568070190167,0.7176282371762823,-0.05556537089123042,0.3196331676603568,-0.38644396861193175,10000,0.4522719333090908,macaque_vascular_CONTROL
HALLMARK_GLYCOLYSIS,181,0.004134449812705031,0.966003399660034,0.049141076881870104,0.08132011396015044,-0.5534501229452262,10000,0.15925631848964827,discordance_extraction
HALLMARK_GLYCOLYSIS,181,0.0821424768075512,0.40775922407759224,-0.035671866761052794,0.08506734147755415,1.384953867397989,10000,0.15925631848964827,discordance_overshoot
HALLMARK_GLYCOLYSIS,181,-0.009864986498649865,0.8628137186281372,0.022012110411041102,0.05099239077435861,-0.6251343862410209,10000,0.15925631848964827,coupling_angle
HALLMARK_GLYCOLYSIS,181,-0.037239723972397235,0.6828317168283171,0.056276277227722764,0.059601591174369035,-1.5690185338598048,10000,0.15925631848964827,baseline_oef
HALLMARK_GLYCOLYSIS,181,-0.18655807900591911,0.5026497350264973,0.17585664959489528,0.13465313382057154,-2.6914689492762975,10000,0.15925631848964827,macaque_vascular_CONTROL
HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,0.04447392156607013,0.6654334566543346,0.05585545045925206,0.07132659905306783,-0.1595692076207635,10000,0.12498137839849255,discordance_extraction
HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,0.038089654837872605,0.716928307169283,-0.05426280870660999,0.07277723140471655,1.2689746746603692,10000,0.12498137839849255,discordance_overshoot
HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,0.04236423642364236,0.43555644435556445,0.02810457965796579,0.043861890062395235,0.32510356360365805,10000,0.12498137839849255,coupling_angle
HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,-0.13431743174317431,0.10728927107289271,0.06860063366336633,0.05341908313028645,-3.7986062941521053,10000,0.12498137839849255,baseline_oef
HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,0.14208051719071405,0.7944205579442056,0.23395613744175306,0.11030778051725439,-0.832902446411455,10000,0.12498137839849255,macaque_vascular_CONTROL
HALLMARK_ANGIOGENESIS,26,0.07178415919351618,0.6459354064593541,0.028926218330070093,0.13684313380574897,0.3131902907476791,10000,0.1752127353017437,discordance_extraction
HALLMARK_ANGIOGENESIS,26,0.02063340070127412,0.8866113388661134,-0.01651831112865732,0.13011275384210455,0.2855347437732052,10000,0.1752127353017437,discordance_overshoot
HALLMARK_ANGIOGENESIS,26,-0.002124212421242124,0.9788021197880212,0.007640081608160816,0.08074224354950704,-0.1209316660047472,10000,0.1752127353017437,coupling_angle
HALLMARK_ANGIOGENESIS,26,-0.3804980498049805,0.00019998000199980003,0.018006640264026402,0.10022791800203035,-3.9759849153100664,10000,0.1752127353017437,baseline_oef
HALLMARK_ANGIOGENESIS,26,-0.04403677427479954,0.8713128687131287,0.07257329667100457,0.21990288330449204,-0.5302798635174697,10000,0.1752127353017437,macaque_vascular_CONTROL
HALLMARK_HYPOXIA,171,0.11816582543298876,0.24767523247675233,0.04257155950098278,0.08820090045936788,0.8570690949672393,10000,0.17842105736256203,discordance_extraction
HALLMARK_HYPOXIA,171,-0.0022023402323319706,0.9806019398060194,-0.028280445884641306,0.09263726145158606,0.2815077350482585,10000,0.17842105736256203,discordance_overshoot
HALLMARK_HYPOXIA,171,-0.11295529552955294,0.04409559044095591,0.018021185718571857,0.054100025877390386,-2.421005889072279,10000,0.17842105736256203,coupling_angle
HALLMARK_HYPOXIA,171,-0.11716771677167714,0.12568743125687432,0.04357756015601559,0.062265574782892866,-2.5816075333469284,10000,0.17842105736256203,baseline_oef
HALLMARK_HYPOXIA,171,0.04535913689601612,0.8617138286171383,0.14984137315813778,0.14959342167641554,-0.6984413825905156,10000,0.17842105736256203,macaque_vascular_CONTROL
GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,0.07878323507732396,0.6496350364963503,0.012304727463870983,0.15424619109177046,0.4309896221288269,10000,0.161439463558389,discordance_extraction
GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,-0.10155436093187614,0.5181481851814819,-0.01376361734700115,0.14271135174699,-0.6151630021732074,10000,0.161439463558389,discordance_overshoot
GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,0.002184218421842184,0.9798020197980202,0.0003985970597059706,0.09415059037719872,0.018965588585078623,10000,0.161439463558389,coupling_angle
GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,-0.017677767776777677,0.8789121087891211,0.005720415241524152,0.1135973330104034,-0.20597475660946188,10000,0.161439463558389,baseline_oef
GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,0.33808404349103727,0.18118188181181882,0.04298543721926031,0.23970252253338312,1.23110346588313,10000,0.161439463558389,macaque_vascular_CONTROL
