gene,rho,p_spin,p_fdr,p_maxt
SLC39A13,0.5522857982452457,0.0020997900209979003,0.03728099412280995,0.19818018198180182
GPAT3,0.5517400612904579,0.0018998100189981002,0.0367041381504167,0.200979902009799
CMYA5,0.5499559212459594,0.00039996000399960006,0.026219600262196004,0.2096790320967903
KCNC3,0.5495781033541833,0.0029997000299970002,0.04064964528282154,0.21237876212378762
GAS2,0.5489693967507661,0.0007999200079992001,0.030952061744498195,0.21597840215978403
MIR29B2CHG,0.5486965282733722,0.0017998200179982,0.03642379825342004,0.21727827217278273
TMCO6,0.5482767306158431,0.0004999500049995,0.02719586197408628,0.2196780321967803
ANK1,0.5479408924898198,0.0026997300269973002,0.039668446948408605,0.22157784221577842
TNIP1,0.5471012971747617,0.00029997000299970003,0.023240100232401004,0.22607739226077392
JDP2,0.5470383275261322,0.0018998100189981002,0.0367041381504167,0.2263773622637736
PHYH,0.5447084505268459,0.0032996700329967,0.04142138977591602,0.23767623237676233
HAPLN4,0.5442046933378111,0.0014998500149985001,0.03465014944288704,0.2395760423957604
STRN,0.5440997439234289,0.0005999400059994001,0.028940502176197477,0.23997600239976002
BHLHE41,0.5437848956802821,0.00039996000399960006,0.026219600262196004,0.24137586241375864
MYH7B,0.5433441081398764,0.0005999400059994001,0.028940502176197477,0.24387561243875613
NFIC,0.5432391587254942,0.0018998100189981002,0.0367041381504167,0.24467553244675533
FAM71E1,0.5427144116535829,0.0028997100289971,0.040364384614170155,0.24767523247675233
MBNL2,0.5425255027076947,0.00029997000299970003,0.023240100232401004,0.24897510248975102
ZBTB8OS,0.542210654464548,9.999000099990002e-05,0.023240100232401004,0.2501749825017498
TRPC3,0.5421476848159186,0.0029997000299970002,0.04064964528282154,0.2505749425057494
STRBP,0.5421266949330423,0.0007999200079992001,0.030952061744498195,0.2505749425057494
ERMP1,0.5420427354015365,0.00029997000299970003,0.023240100232401004,0.250974902509749
NXPE3,0.5420427354015364,0.00039996000399960006,0.026219600262196004,0.250974902509749
GUCA2B,0.5420007556357835,0.004899510048995101,0.04793270672932707,0.25107489251074894
TPRKB,0.5412241299693547,0.00019998000199980003,0.023240100232401004,0.2548745125487451
PPP1CC,0.5407623525460729,0.0021997800219978004,0.03749402837494029,0.25807419258074193
GPCPD1,0.5405524537173081,0.0018998100189981002,0.0367041381504167,0.25937406259374063
AGO1,0.5403425548885437,0.005099490050994901,0.04864812026260061,0.2606739326067393
GNAS,0.5399647369967675,0.000999900009999,0.031175744214196468,0.26307369263073693
KLHL20,0.5395449393392384,0.0006999300069993001,0.030330300303303002,0.26517348265173485
RRM2B,0.5392300910960917,0.0017998200179982,0.03642379825342004,0.2666733326667333
SERPINB9,0.5390621720330799,0.0016998300169983002,0.035622120848024484,0.2676732326767323
LINC00515,0.5386633642584273,0.0004999500049995,0.02719586197408628,0.2695730426957304
IDE,0.5383065362495277,0.00029997000299970003,0.023240100232401004,0.2713728627137286
CLEC16A,0.5382015868351454,0.0015998400159984002,0.034663200346632006,0.27177282271772824
UBL3,0.5381596070693925,0.0015998400159984002,0.034663200346632006,0.27177282271772824
RNF157,0.5381176273036397,0.0008999100089991,0.030952061744498195,0.27207279272072793
DCLK1,0.5378657487091222,0.0006999300069993001,0.030330300303303002,0.2733726627337266
ONECUT2,0.5377607992947399,0.0030996900309969004,0.04106152424481213,0.2742725727427257
TTC39B,0.5375928802317281,0.0004999500049995,0.02719586197408628,0.2752724727527247
TUBD1,0.537487930817346,0.0015998400159984002,0.034663200346632006,0.27587241275872415
RNF168,0.5366903152680407,0.00029997000299970003,0.023240100232401004,0.27917208279172084
SV2C,0.5364384366735233,0.005599440055994401,0.05017255283817412,0.28087191280871915
PLCD4,0.5360186390159942,0.000999900009999,0.031175744214196468,0.28357164283571645
PLA2R1,0.5357247806557238,0.0007999200079992001,0.030952061744498195,0.28517148285171484
RAB37,0.5356618110070945,0.004299570042995701,0.04592994739523262,0.2852714728527147
MX1,0.5354729020612063,0.0026997300269973002,0.039668446948408605,0.2862713728627137
SMCO4,0.5353889425297007,0.0026997300269973002,0.039668446948408605,0.28677132286771323
IPW,0.5353469627639478,0.0018998100189981002,0.0367041381504167,0.28687131286871315
SKIDA1,0.534990134755048,0.0022997700229977,0.037690675376906756,0.2893710628937106
KCNA2,0.5345703370975189,0.0024997500249975004,0.03850016604765226,0.29077092290770923
PI4K2A,0.5344443978002601,0.001999800019998,0.03728099412280995,0.2913708629137086
SCLT1,0.5343394483858779,0.004399560043995601,0.046416266213818794,0.29177082291770823
SLC25A37,0.5341085596742369,0.006799320067993201,0.05455103025262328,0.29317068293170684
ZFYVE19,0.5338776709625961,0.00039996000399960006,0.026219600262196004,0.2946705329467053
EXTL2,0.533415893539314,0.0013998600139986002,0.03452387880183043,0.29787021297870214
MINDY3,0.5332689643591788,0.0008999100089991,0.030952061744498195,0.2983701629837016
ALDH1A3,0.5332269845934259,0.006199380061993801,0.05248261045860094,0.2987701229877012
IFNLR1,0.5327442172872675,0.0030996900309969004,0.04106152424481213,0.3016698330166983
TDRD3,0.5326182779900087,0.0015998400159984002,0.034663200346632006,0.3027697230276972
PCGF1,0.5320515511523446,0.00029997000299970003,0.023240100232401004,0.30716928307169283
TIMM23B,0.5313588850174215,0.0020997900209979003,0.03728099412280995,0.31126887311268875
ESRRA,0.5304353301708575,0.0013998600139986002,0.03452387880183043,0.31656834316568344
PLXDC1,0.5299735527475757,0.0031996800319968005,0.04117709034465681,0.31916808319168083
CACNA2D2,0.5299525628646992,0.00039996000399960006,0.026219600262196004,0.3193680631936806
SEPT12,0.5296587045044288,0.0007999200079992001,0.030952061744498195,0.32186781321867813
MAGI2-AS3,0.5293858360270349,0.0057994200579942,0.051364378573689966,0.3237676232376762
INA,0.5288820788380001,0.0004999500049995,0.02719586197408628,0.3267673232676732
FBXO32,0.5287771294236179,0.0016998300169983002,0.035622120848024484,0.32726727327267274
INIP,0.5283783216489651,0.0011998800119988001,0.032751173281248394,0.3294670532946705
FASTKD1,0.5281894127030771,0.005499450054994501,0.050095940524712376,0.33066693330666935
SPTSSB,0.5280844632886948,0.0005999400059994001,0.028940502176197477,0.33156684331566844
EEPD1,0.5280424835229419,0.004199580041995801,0.04549545045495451,0.33166683331666835
CCDC39,0.5271818983250073,0.003999600039996,0.044523849501842266,0.33636636336366366
