cell,stability_threshold,gene_set,n_genes,target,rho,p_spin,direction_h1,probe_selection,lr_mirror,missing,p_fdr
01e98e73f708,0.1,glucose_lactate_transport,3,discordance_extraction,0.1338408410546701,0.3591640835916408,positive,diff_stability,,,0.7050961570509616
01e98e73f708,0.1,glucose_lactate_transport,3,discordance_overshoot,-0.12889171133783375,0.42595740425957407,positive,diff_stability,,,0.9417629665604869
01e98e73f708,0.1,glucose_lactate_transport,3,coupling_angle,0.09924551638837353,0.4246575342465753,positive,diff_stability,,,0.901109889011099
01e98e73f708,0.1,glucose_lactate_transport,3,baseline_oef,-0.07943104514533085,0.692030796920308,positive,diff_stability,,,0.8875362463753624
01e98e73f708,0.1,glucose_lactate_transport,3,macaque_vascular_CONTROL,0.3397546826873891,0.0731926807319268,positive,diff_stability,,,0.291304202913042
01e98e73f708,0.1,glycolytic_enzymes,5,discordance_extraction,-0.007957634694524386,0.9568043195680432,positive,diff_stability,,,0.9568043195680433
01e98e73f708,0.1,glycolytic_enzymes,5,discordance_overshoot,0.0740670002510987,0.6592340765923408,positive,diff_stability,,,0.9417629665604869
01e98e73f708,0.1,glycolytic_enzymes,5,coupling_angle,-0.044489795918367346,0.7307269273072693,positive,diff_stability,,,0.901109889011099
01e98e73f708,0.1,glycolytic_enzymes,5,baseline_oef,-0.03529993815708102,0.8598140185981402,positive,diff_stability,,,0.9553489095534891
01e98e73f708,0.1,glycolytic_enzymes,5,macaque_vascular_CONTROL,-0.08181234422785996,0.6348365163483651,positive,diff_stability,,,0.8075442455754425
01e98e73f708,0.1,interneuron_subclass,4,discordance_extraction,-0.0658505125111188,0.6454354564543545,,diff_stability,,,0.8666633336666334
01e98e73f708,0.1,interneuron_subclass,4,discordance_overshoot,0.10305135718124232,0.5263473652634737,,diff_stability,,,0.9417629665604869
01e98e73f708,0.1,interneuron_subclass,4,coupling_angle,-0.055868893011750145,0.6621337866213378,,diff_stability,,,0.901109889011099
01e98e73f708,0.1,interneuron_subclass,4,baseline_oef,-0.07481756338899194,0.71002899710029,,diff_stability,,,0.8875362463753624
01e98e73f708,0.1,interneuron_subclass,4,macaque_vascular_CONTROL,-0.13838552040138874,0.42055794420557946,,diff_stability,,,0.8075442455754425
01e98e73f708,0.1,HALLMARK_GLYCOLYSIS,99,discordance_extraction,-0.05596394220474945,0.6933306669333067,positive,diff_stability,,,0.8666633336666334
01e98e73f708,0.1,HALLMARK_GLYCOLYSIS,99,discordance_overshoot,0.0891172857173928,0.5893410658934106,positive,diff_stability,,,0.9417629665604869
01e98e73f708,0.1,HALLMARK_GLYCOLYSIS,99,coupling_angle,-0.016413110698824986,0.9011098890110989,positive,diff_stability,,,0.901109889011099
01e98e73f708,0.1,HALLMARK_GLYCOLYSIS,99,baseline_oef,-0.09416202844774273,0.6412358764123588,positive,diff_stability,,,0.8875362463753624
01e98e73f708,0.1,HALLMARK_GLYCOLYSIS,99,macaque_vascular_CONTROL,-0.32177490449603297,0.08739126087391261,positive,diff_stability,,,0.291304202913042
01e98e73f708,0.1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,100,discordance_extraction,0.0372886202521283,0.7889211078892111,negative,diff_stability,,,0.8765790087657901
01e98e73f708,0.1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,100,discordance_overshoot,0.08363543472760955,0.6139386061393861,negative,diff_stability,,,0.9417629665604869
01e98e73f708,0.1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,100,coupling_angle,-0.025269016697588128,0.8475152484751525,negative,diff_stability,,,0.901109889011099
01e98e73f708,0.1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,100,baseline_oef,-0.21024118738404451,0.27317268273172685,negative,diff_stability,,,0.6829317068293171
01e98e73f708,0.1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,100,macaque_vascular_CONTROL,0.03222646684298168,0.8492150784921508,negative,diff_stability,,,0.8492150784921508
01e98e73f708,0.1,HALLMARK_ANGIOGENESIS,14,discordance_extraction,0.14216441530256702,0.33286671332866713,positive,diff_stability,,,0.7050961570509616
01e98e73f708,0.1,HALLMARK_ANGIOGENESIS,14,discordance_overshoot,-0.029275812808559693,0.8665133486651335,positive,diff_stability,,,0.9439056094390562
01e98e73f708,0.1,HALLMARK_ANGIOGENESIS,14,coupling_angle,0.04738404452690166,0.7136286371362863,positive,diff_stability,,,0.901109889011099
01e98e73f708,0.1,HALLMARK_ANGIOGENESIS,14,baseline_oef,-0.3839455782312925,0.043795620437956206,positive,diff_stability,,,0.21897810218978103
01e98e73f708,0.1,HALLMARK_ANGIOGENESIS,14,macaque_vascular_CONTROL,0.07906966619867002,0.646035396460354,positive,diff_stability,,,0.8075442455754425
01e98e73f708,0.1,HALLMARK_HYPOXIA,101,discordance_extraction,0.190387805598691,0.19418058194180582,positive,diff_stability,,,0.7050961570509616
01e98e73f708,0.1,HALLMARK_HYPOXIA,101,discordance_overshoot,-0.03187411095869452,0.8548145185481452,positive,diff_stability,,,0.9439056094390562
01e98e73f708,0.1,HALLMARK_HYPOXIA,101,coupling_angle,-0.09199752628324057,0.45985401459854014,positive,diff_stability,,,0.901109889011099
01e98e73f708,0.1,HALLMARK_HYPOXIA,101,baseline_oef,-0.2739393939393939,0.14728527147285272,positive,diff_stability,,,0.4909509049095091
01e98e73f708,0.1,HALLMARK_HYPOXIA,101,macaque_vascular_CONTROL,-0.050641590753256936,0.7645235476452354,positive,diff_stability,,,0.8492150784921508
01e98e73f708,0.2,interneuron_subclass,3,discordance_extraction,0.10967022343614981,0.44885511448855114,,diff_stability,,,0.7480918574809187
