gene_set,mediator,outcome,adjusted,a_median,b_median,indirect_median,indirect_q1,indirect_q3,pct_consistent_sign,pct_indirect_sig,pct_a_sig,pct_b_sig,limiting_path,n_cells,stable_sign,supported
glucose_lactate_transport,baseline_cbv,coupling_angle,True,-0.007627330777065225,-0.15667845164692956,0.001265495331286558,-0.010750159792105073,0.009083138403548064,0.5666666666666667,0.0,0.0,0.0,a,120,False,False
glycolytic_enzymes,baseline_oef,discordance_extraction,False,-0.04985298529852986,-0.28704724855343144,0.01430110094616966,0.0030850820309046272,0.023575575447680727,0.825,0.0,0.0,0.0,a,120,True,False
glycolytic_enzymes,baseline_oef,discordance_extraction,True,0.009220103481290218,-0.23991667864098937,-0.0022211962886263606,-0.009971734812150839,0.005394618198470195,0.575,0.0,0.0,0.0,a,120,False,False
glycolytic_enzymes,baseline_oef,discordance_overshoot,False,-0.04985298529852986,0.10888487704653096,-0.005447712111946843,-0.009277094599470959,-0.0011642680762552911,0.825,0.0,0.0,0.0,a,120,True,False
glycolytic_enzymes,baseline_oef,discordance_overshoot,True,0.009220103481290218,0.03860956212560333,0.0003607721520018875,-0.0009385151483728982,0.0014791702056711092,0.575,0.0,0.0,0.0,a,120,False,False
glycolytic_enzymes,baseline_oef,coupling_angle,False,-0.04985298529852986,0.140112725567486,-0.0068946514009335935,-0.011076905793062655,-0.001508026984789253,0.825,0.0,0.0,0.0,a,120,True,False
glycolytic_enzymes,baseline_oef,coupling_angle,True,0.009220103481290218,0.13070401300198076,0.0012002654061390558,-0.0028863178321907814,0.005519875755504565,0.575,0.0,0.0,0.0,a,120,False,False
glycolytic_enzymes,baseline_cbv,discordance_extraction,False,-0.04886888688868886,0.2205652150088369,-0.010554011237926996,-0.02034991440435295,-0.003497430608152977,0.8416666666666667,0.0,0.0,0.0,a,120,True,False
glycolytic_enzymes,baseline_cbv,discordance_extraction,True,-0.04736770621191683,0.25090350573839904,-0.011770236937627857,-0.02215843738270029,-0.004195972196266154,0.85,0.0,0.0,0.0,a,120,True,False
glycolytic_enzymes,baseline_cbv,discordance_overshoot,False,-0.04886888688868886,-0.20063541521158135,0.009687461125536229,0.0032420532963522214,0.01836802790954071,0.8416666666666667,0.0,0.0,0.0,a,120,True,False
glycolytic_enzymes,baseline_cbv,discordance_overshoot,True,-0.04736770621191683,-0.24157546533068705,0.011375021148756515,0.004119766174356106,0.02120809304998886,0.85,0.0,0.0,0.0,a,120,True,False
glycolytic_enzymes,baseline_cbv,coupling_angle,False,-0.04886888688868886,-0.142230134201191,0.006760882612629322,0.002217764214799993,0.012970372174199442,0.8416666666666667,0.0,0.0,0.0,a,120,True,False
glycolytic_enzymes,baseline_cbv,coupling_angle,True,-0.04736770621191683,-0.16234559002209373,0.00800303170465674,0.00265263479043463,0.014352856025873674,0.85,0.0,0.0,0.0,a,120,True,False
interneuron_subclass,baseline_oef,discordance_extraction,False,-0.0412083861447369,-0.28923231414385453,0.011910229548095102,0.0009329482649705303,0.024812077726185613,0.7666666666666667,0.0,0.0,0.05,a,120,False,False
interneuron_subclass,baseline_oef,discordance_extraction,True,-0.03573786999923384,-0.24137761950267475,0.00856927464047802,-0.003659985699763184,0.020996018995379662,0.6833333333333333,0.0,0.0,0.0,a,120,False,False
