gene,rho,p_spin,p_fdr
C12orf54,0.20782478247824782,0.06829317068293171,0.9994302520775813
WDR48,0.2071767176717672,0.07829217078292171,0.9994302520775813
LYNX1,0.20681668166816686,0.06579342065793421,0.9994302520775813
LRRC8A,0.20669666966696676,0.059194080591940805,0.9994302520775813
FGF7,0.20618061806180624,0.09309069093090691,0.9994302520775813
GCC1,0.20580858085808584,0.06979302069793021,0.9994302520775813
WFDC2,0.2053045304530453,0.0761923807619238,0.9994302520775813
GALR1,0.20493249324932494,0.102989701029897,0.9994302520775813
RCCD1,0.2040684068406841,0.09169083091690831,0.9994302520775813
ACTN4,0.20368436843684368,0.0805919408059194,0.9994302520775813
HS6ST2,0.20321632163216324,0.07379262073792621,0.9994302520775813
DEPTOR,0.20303630363036304,0.07939206079392061,0.9994302520775813
WDR4,0.20284428442844285,0.06179382061793821,0.9994302520775813
TRAF7,0.20255625562556256,0.05579442055794421,0.9994302520775813
TMEM250,0.20219621962196221,0.0684931506849315,0.9994302520775813
WWP1,0.20214821482148224,0.07679232076792321,0.9994302520775813
APPBP2,0.20204020402040201,0.07119288071192881,0.9994302520775813
PLEKHA5,0.20180018001800182,0.06429357064293571,0.9994302520775813
COBLL1,0.20168016801680175,0.08289171082891711,0.9994302520775813
AMER1,0.20141614161416144,0.0756924307569243,0.9994302520775813
ERO1A,0.19985598559855988,0.0565943405659434,0.9994302520775813
NIPAL2,0.1998199819981999,0.1045895410458954,0.9994302520775813
SURF4,0.19942394239423947,0.08859114088591141,0.9994302520775813
SYS1,0.19939993999399944,0.0761923807619238,0.9994302520775813
PDZD11,0.19909990999099914,0.09209079092090791,0.9994302520775813
MCOLN1,0.19907590759075913,0.0902909709029097,0.9994302520775813
GPR180,0.198955895589559,0.0856914308569143,0.9994302520775813
MLLT3,0.19865586558655862,0.100989901009899,0.9994302520775813
SMCO4,0.19860786078607864,0.11398860113988601,0.9994302520775813
CAMTA2,0.19858385838583859,0.0760923907609239,0.9994302520775813
ASS1,0.19830783078307834,0.08819118088191182,0.9994302520775813
FAM95A,0.1981518151815182,0.0685931406859314,0.9994302520775813
FIG4,0.1978997899789979,0.071992800719928,0.9994302520775813
RASIP1,0.19759975997599763,0.09979002099790021,0.9994302520775813
GTPBP10,0.19745574557455747,0.05599440055994401,0.9994302520775813
LTK,0.1970717071707171,0.0917908209179082,0.9994302520775813
MPZL3,0.1966636663666367,0.10058994100589941,0.9994302520775813
STARD13,0.194947494749475,0.0861913808619138,0.9994302520775813
FAM43B,0.19462346234623465,0.09009099090090991,0.9994302520775813
CARTPT,0.19462346234623462,0.1461853814618538,0.9994302520775813
PCDHB10,0.19381938193819384,0.09909009099090091,0.9994302520775813
ZNF180,0.19365136513651368,0.12308769123087691,0.9994302520775813
STAT4,0.19350735073507358,0.11948805119488051,0.9994302520775813
THUMPD2,0.19329132913291333,0.09019098090190981,0.9994302520775813
NAPEPLD,0.19297929792979301,0.11298870112988701,0.9994302520775813
TTPAL,0.1929432943294329,0.09759024097590241,0.9994302520775813
RMDN2,0.19285928592859292,0.10428957104289571,0.9994302520775813
RFPL3S,0.19283528352835283,0.08769123087691232,0.9994302520775813
SIK2,0.19261926192619264,0.0765923407659234,0.9994302520775813
COL5A2,0.1920432043204321,0.10918908109189081,0.9994302520775813
MAN2B2,0.19181518151815186,0.056194380561943806,0.9994302520775813
SLC7A1,0.19133513351335135,0.09769023097690231,0.9994302520775813
SATB2,0.1910711071107111,0.09469053094690531,0.9994302520775813
FAM76A,0.19090309030903096,0.07879212078792121,0.9994302520775813
PRC1,0.19077107710771074,0.10868913108689131,0.9994302520775813
EIF4G2,0.19042304230423043,0.10268973102689731,0.9994302520775813
TESC,0.1900870087008701,0.10878912108789121,0.9994302520775813
SCN2B,0.18979897989798983,0.0806919308069193,0.9994302520775813
FAM171A1,0.18934293429342938,0.09009099090090991,0.9994302520775813
SLC35C1,0.18907890789078907,0.09429057094290572,0.9994302520775813
RNF26,0.18904290429042905,0.10768923107689231,0.9994302520775813
OSBPL1A,0.18839483948394842,0.10278972102789721,0.9994302520775813
KANK3,0.1883708370837084,0.09779022097790221,0.9994302520775813
SLC25A16,0.187950795079508,0.11358864113588642,0.9994302520775813
ARL5B,0.18748274827482755,0.12168783121687832,0.9994302520775813
LINGO3,0.18738673867386746,0.1126887311268873,0.9994302520775813
SLC38A11,0.1871947194719472,0.1314868513148685,0.9994302520775813
KCNV1,0.18697869786978702,0.12018798120187982,0.9994302520775813
RFPL2,0.18635463546354636,0.1207879212078792,0.9994302520775813
ANAPC1,0.18624662466246628,0.11198880111988802,0.9994302520775813
ACVRL1,0.18580258025802582,0.1080891910808919,0.9994302520775813
USP8,0.18576657665766577,0.11938806119388061,0.9994302520775813
PRKCH,0.18551455145514556,0.11528847115288471,0.9994302520775813
ZNF879,0.18544254425442547,0.1116888311168883,0.9994302520775813
ARHGEF11,0.18538253825382542,0.1131886811318868,0.9994302520775813
GAREM1,0.184998499849985,0.0861913808619138,0.9994302520775813
LYRM4,0.1842664266426643,0.10548945105489452,0.9994302520775813
WIPI1,0.18424242424242432,0.1260873912608739,0.9994302520775813
KCNJ14,0.18423042304230425,0.125987401259874,0.9994302520775813
CTNNB1,0.18371437143714375,0.1357864213578642,0.9994302520775813
SDR16C5,0.18370237023702377,0.1342865713428657,0.9994302520775813
EARS2,0.18360636063606361,0.1085891410858914,0.9994302520775813
TBC1D19,0.1834503450345035,0.11908809119088092,0.9994302520775813
SAE1,0.1831743174317432,0.09519048095190481,0.9994302520775813
FLRT2,0.18270627062706274,0.12048795120487951,0.9994302520775813
C16orf72,0.18261026102610267,0.134986501349865,0.9994302520775813
STEAP2,0.18229822982298233,0.1171882811718828,0.9994302520775813
CCDC151,0.181986198619862,0.10578942105789421,0.9994302520775813
PLXDC1,0.18186618661866188,0.1381861813818618,0.9994302520775813
LINC01296,0.18168616861686174,0.14978502149785022,0.9994302520775813
UNC13A,0.18132613261326136,0.12498750124987501,0.9994302520775813
TPM3,0.18130213021302133,0.11598840115988401,0.9994302520775813
FSCN1,0.18112211221122115,0.09449055094490551,0.9994302520775813
UBFD1,0.18031803180318035,0.12788721127887212,0.9994302520775813
ARMC9,0.18013801380138017,0.0913908609139086,0.9994302520775813
DHX16,0.17990999099909993,0.11248875112488751,0.9994302520775813
TPTE2P6,0.17962196219621968,0.1316868313168683,0.9994302520775813
FSTL4,0.1794779477947795,0.141985801419858,0.9994302520775813
CHI3L1,0.17944194419441944,0.10528947105289471,0.9994302520775813
ARC,0.1792859285928593,0.132986701329867,0.9994302520775813
SLCO3A1,0.17924992499249928,0.10578942105789421,0.9994302520775813
TES,0.17915391539153924,0.0983901609839016,0.9994302520775813
HTR1E,0.17890189018901892,0.1491850814918508,0.9994302520775813
SNED1,0.17881788178817887,0.10918908109189081,0.9994302520775813
CEP135,0.1783738373837384,0.14728527147285272,0.9994302520775813
