name,tail,n_in_set,n_overlap,observed,null_mean,null_sd,z,p,n_draws,cell,target,primary
interneuron_subclass,negative,4,4,0.25,0.037025,0.0931954901001116,2.285250067049596,0.141985801419858,10000,c1509b5525b6,coupling_angle,True
HALLMARK_GLYCOLYSIS,positive,200,99,0.06060606060606061,0.05099191919191919,0.02202223315625484,0.43656523595613506,0.39006099390060994,10000,c1509b5525b6,coupling_angle,True
HALLMARK_GLYCOLYSIS,negative,200,99,0.020202020202020204,0.05083030303030303,0.02177362444231469,-1.4066690141288587,0.9653034696530347,10000,c1509b5525b6,coupling_angle,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,positive,200,100,0.0,0.050194,0.021771136029155667,-2.3055296670224625,1.0,10000,c1509b5525b6,coupling_angle,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,negative,200,100,0.03,0.05443900000000001,0.022515889478321748,-1.0854112613907538,0.9166083391660834,10000,c1509b5525b6,coupling_angle,True
HALLMARK_ANGIOGENESIS,positive,36,14,0.07142857142857142,0.049885714285714276,0.05826739207817556,0.3697240664890882,0.5117488251174882,10000,c1509b5525b6,coupling_angle,True
HALLMARK_ANGIOGENESIS,negative,36,14,0.0,0.04953571428571428,0.057691904695086456,-0.8586250453598419,1.0,10000,c1509b5525b6,coupling_angle,True
HALLMARK_HYPOXIA,positive,200,101,0.019801980198019802,0.048588118811881194,0.02132652408035739,-1.3497810756875572,0.957004299570043,10000,c1509b5525b6,coupling_angle,True
HALLMARK_HYPOXIA,negative,200,101,0.019801980198019802,0.047652475247524764,0.021047682991667135,-1.3232095457030157,0.96000399960004,10000,c1509b5525b6,coupling_angle,True
endothelial,positive,6,5,0.0,0.050339999999999996,0.09829488491269522,-0.5121324476315487,1.0,10000,c1509b5525b6,baseline_oef,True
endothelial,negative,6,5,0.0,0.05234,0.09919941733699851,-0.5276240668046615,1.0,10000,c1509b5525b6,baseline_oef,True
pericyte_mural,positive,5,3,0.0,0.049633333333333335,0.12513494493723343,-0.3966384718371752,1.0,10000,c1509b5525b6,baseline_oef,True
pericyte_mural,negative,5,3,1.0,0.0495,0.12571915349522342,7.560502704435672,0.00039996000399960006,10000,c1509b5525b6,baseline_oef,True
astrocyte,positive,4,3,0.0,0.06026666666666666,0.13764340400711786,-0.43784638356916933,1.0,10000,c1509b5525b6,baseline_oef,True
astrocyte,negative,4,3,0.0,0.04873333333333332,0.12570934730560013,-0.3876667437852677,1.0,10000,c1509b5525b6,baseline_oef,True
glucose_lactate_transport,positive,5,3,0.0,0.059733333333333326,0.13609121124370147,-0.43892131451727295,1.0,10000,c1509b5525b6,baseline_oef,True
glucose_lactate_transport,negative,5,3,0.0,0.05266666666666666,0.12971592894560874,-0.4060154145660118,1.0,10000,c1509b5525b6,baseline_oef,True
glycolytic_enzymes,positive,6,5,0.0,0.05024,0.09709759214316285,-0.5174175681506604,1.0,10000,c1509b5525b6,baseline_oef,True
glycolytic_enzymes,negative,6,5,0.0,0.04242,0.08964677127482061,-0.47319049416690645,1.0,10000,c1509b5525b6,baseline_oef,True
interneuron_subclass,positive,4,4,0.0,0.0444,0.10205949245415637,-0.4350403762780207,1.0,10000,c1509b5525b6,baseline_oef,True
interneuron_subclass,negative,4,4,0.0,0.04845,0.10777336173656271,-0.44955450233082106,1.0,10000,c1509b5525b6,baseline_oef,True
HALLMARK_GLYCOLYSIS,positive,200,99,0.050505050505050504,0.05166565656565657,0.022242639816751814,-0.052179330788423996,0.5874412558744125,10000,c1509b5525b6,baseline_oef,True
HALLMARK_GLYCOLYSIS,negative,200,99,0.06060606060606061,0.050574747474747474,0.02170343091255818,0.4621994177661906,0.3882611738826117,10000,c1509b5525b6,baseline_oef,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,positive,200,100,0.0,0.051141000000000006,0.02166398206701621,-2.360646341092715,1.0,10000,c1509b5525b6,baseline_oef,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,negative,200,100,0.1,0.048521,0.021168433078525204,2.431875793972868,0.024297570242975703,10000,c1509b5525b6,baseline_oef,True
HALLMARK_ANGIOGENESIS,positive,36,14,0.0,0.04519285714285713,0.05560386080781345,-0.812764734072326,1.0,10000,c1509b5525b6,baseline_oef,True
HALLMARK_ANGIOGENESIS,negative,36,14,0.35714285714285715,0.050442857142857137,0.0585226957544451,5.2407018515838715,0.0006999300069993001,10000,c1509b5525b6,baseline_oef,True
HALLMARK_HYPOXIA,positive,200,101,0.019801980198019802,0.04880495049504952,0.02139141278474519,-1.3558230393138195,0.9588041195880412,10000,c1509b5525b6,baseline_oef,True
HALLMARK_HYPOXIA,negative,200,101,0.06930693069306931,0.05107128712871288,0.021896577984664326,0.8328079199009134,0.255974402559744,10000,c1509b5525b6,baseline_oef,True
endothelial,positive,6,5,0.0,0.02296,0.0673560568917154,-0.3408750609750141,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
endothelial,negative,6,5,0.0,0.0072,0.03736522447410157,-0.1926925396899578,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
pericyte_mural,positive,5,3,0.0,0.02743333333333333,0.09352760139243506,-0.2933180464900949,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
pericyte_mural,negative,5,3,0.0,0.012633333333333333,0.06469036507342753,-0.1952892570476875,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
astrocyte,positive,4,3,0.0,0.010533333333333332,0.058501130093547946,-0.18005350181252391,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
astrocyte,negative,4,3,0.0,0.006599999999999998,0.04667614189521475,-0.14139986151418896,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
glucose_lactate_transport,positive,5,3,0.3333333333333333,0.039999999999999994,0.10994948334980428,2.6678918753996625,0.11848815118488151,10000,c1509b5525b6,macaque_vascular_CONTROL,True
glucose_lactate_transport,negative,5,3,0.0,0.0428,0.1139753579604917,-0.3755197681838924,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
glycolytic_enzymes,positive,6,5,0.0,0.027219999999999998,0.07126760554417413,-0.38194071194279283,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
glycolytic_enzymes,negative,6,5,0.0,0.02648,0.06895512743806656,-0.3840178531144554,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
