cell,gene_set,n_genes,mediator,outcome,adjusted,probe_selection,lr_mirror,missing,a,a_p,b,b_p,c,c_p,c_prime,c_prime_p,indirect,indirect_p,indirect_p_product,indirect_ci_lo,indirect_ci_hi,proportion_mediated,limiting_path,n_valid,n_perm_exposure,n_perm_outcome,n_boot,method,n_covariates,indirect_p_fdr
01e98e73f708,endothelial,6,baseline_cbv,coupling_angle,False,diff_stability,,,0.01659863945578232,0.9357064293570643,-0.1561951693493141,0.24427557244275572,0.042399505256648096,0.7085291470852915,0.044992132557412225,0.7005299470052995,-0.0025926273007641264,0.9357064293570643,0.9353064693530647,-0.05760401825212816,0.0366080959056444,,a,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,endothelial,6,baseline_cbv,coupling_angle,True,diff_stability,,,-0.014333592361792467,0.9397060293970603,-0.1743845316779815,0.20177982201779823,0.004725459020849142,0.9661033896610339,0.00222590222957487,0.9824017598240176,0.0024995567912742722,0.9397060293970603,0.9397060293970603,-0.038737584196569176,0.03986200083510269,,a,99,10000,10000,500,spearman,3,0.9935006499350064
01e98e73f708,pericyte_mural,4,baseline_oef,discordance_extraction,False,diff_stability,,,-0.4070995670995671,0.011998800119988001,-0.27448828226554695,0.08919108089191082,0.1426047832396763,0.21297870212978703,0.030860722355468367,0.7966203379662034,0.11174406088420794,0.08919108089191082,0.0212978702129787,0.02124035628421945,0.22111948696196485,0.783592656190216,b,99,10000,10000,500,spearman,0,0.4905509449055095
01e98e73f708,pericyte_mural,4,baseline_oef,discordance_extraction,True,diff_stability,,,-0.42040665556695583,0.016798320167983202,-0.22277786179594894,0.18568143185681432,0.13496080625948317,0.21247875212478753,0.041303510447490775,0.7359264073592641,0.09365729581199239,0.18568143185681432,0.038696130386961305,0.003764611402118791,0.20475099524406715,0.6939592197746778,b,99,10000,10000,500,spearman,3,0.8573642635736426
01e98e73f708,pericyte_mural,4,baseline_oef,discordance_overshoot,False,diff_stability,,,-0.4070995670995671,0.011998800119988001,0.14597633566958484,0.39936006399360063,0.03315775706150578,0.785921407859214,0.09258466011937486,0.45645435456454353,-0.05942690305786908,0.39936006399360063,0.0192980701929807,-0.14822266050797175,0.022603666458110093,,b,99,10000,10000,500,spearman,0,0.9380961903809618
01e98e73f708,pericyte_mural,4,baseline_oef,discordance_overshoot,True,diff_stability,,,-0.42040665556695583,0.016798320167983202,0.07859056889577004,0.6632336766323368,0.05870136499212837,0.6118388161183882,0.09174136322070349,0.47775222477752227,-0.03303999822857511,0.6632336766323368,0.031096890310968902,-0.12664750742128209,0.04464708554510087,-0.5628488917251865,b,99,10000,10000,500,spearman,3,0.964003599640036
01e98e73f708,pericyte_mural,4,baseline_oef,coupling_angle,False,diff_stability,,,-0.4070995670995671,0.011998800119988001,0.1623516060219105,0.25807419258074193,-0.011614100185528773,0.9162083791620838,0.05447916834391047,0.6705329467053295,-0.06609326852943924,0.25807419258074193,0.014098590140985901,-0.15468255913609366,0.03152098915613643,,b,99,10000,10000,500,spearman,0,0.9355664433556644
01e98e73f708,pericyte_mural,4,baseline_oef,coupling_angle,True,diff_stability,,,-0.42040665556695583,0.016798320167983202,0.14782513238865067,0.32456754324567544,-0.0174221373515339,0.8774122587741225,0.0447245321647212,0.7331266873312668,-0.06214666951625511,0.32456754324567544,0.023997600239976002,-0.16067052096453574,0.04063708923972854,,b,99,10000,10000,500,spearman,3,0.964003599640036
01e98e73f708,pericyte_mural,4,baseline_cbv,discordance_extraction,False,diff_stability,,,-0.02744588744588745,0.8697130286971303,0.2299338467319494,0.1665833416658334,0.1426047832396763,0.21297870212978703,0.1489155217170813,0.22827717228277172,-0.006310738477405019,0.8697130286971303,0.867013298670133,-0.0639668631334975,0.045258074756948395,-0.04425334363994328,a,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,pericyte_mural,4,baseline_cbv,discordance_extraction,True,diff_stability,,,-0.034737916188547185,0.8284171582841716,0.25522954360481903,0.10768923107689231,0.13496080625948317,0.21247875212478753,0.14382694875406854,0.25547445255474455,-0.008866142494585352,0.8284171582841716,0.8253174682531746,-0.07012225066905912,0.0460151977982833,-0.0656942021933302,a,99,10000,10000,500,spearman,3,0.9935006499350064
01e98e73f708,pericyte_mural,4,baseline_cbv,discordance_overshoot,False,diff_stability,,,-0.02744588744588745,0.8697130286971303,-0.20102186672516661,0.28047195280471954,0.03315775706150578,0.785921407859214,0.02764053353320467,0.827017298270173,0.00551722352830111,0.8697130286971303,0.8701129887011299,-0.04380497575341052,0.05469853093656866,,a,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,pericyte_mural,4,baseline_cbv,discordance_overshoot,True,diff_stability,,,-0.034737916188547185,0.8284171582841716,-0.23634501458829482,0.18388161183881613,0.05870136499212837,0.6118388161183882,0.050491231683779225,0.7016298370162983,0.008210133308349148,0.8284171582841716,0.8294170582941706,-0.040851743613784575,0.06555588563984598,0.13986273248416106,a,99,10000,10000,500,spearman,3,0.9935006499350064
01e98e73f708,pericyte_mural,4,baseline_cbv,coupling_angle,False,diff_stability,,,-0.02744588744588745,0.8697130286971303,-0.15588454465037502,0.24627537246275372,-0.011614100185528773,0.9162083791620838,-0.015892489852556382,0.9085091490850915,0.00427838966702761,0.8697130286971303,0.869013098690131,-0.03019966285372135,0.04859061414146425,,a,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,pericyte_mural,4,baseline_cbv,coupling_angle,True,diff_stability,,,-0.034737916188547185,0.8284171582841716,-0.17523310338519144,0.19858014198580143,-0.0174221373515339,0.8774122587741225,-0.023509370210387702,0.8606139386061394,0.006087232858853804,0.8284171582841716,0.8275172482751725,-0.029879508747429777,0.05859567961674751,,a,99,10000,10000,500,spearman,3,0.9935006499350064
