gene,rho,p_spin,p_fdr
SUSD2,-0.11877365575479841,0.24317568243175683,0.5893840947658788
TM2D3,-0.1188880000727626,0.3173682631736826,0.6490354430299439
VIM,-0.11894216317074563,0.32886711328867113,0.6567924045918762
ATF7IP2,-0.11908057997670228,0.33996600339966004,0.6646628829140382
NHLRC1,-0.11915279744067966,0.34436556344365565,0.6664047016085476
PGLS,-0.1191588155626778,0.31356864313568644,0.6460118409945965
SLC6A13,-0.11917686992867209,0.31386861313868614,0.6460118409945965
FIS1,-0.11919492429466642,0.3030696930306969,0.63799330824327
CMTM4,-0.11931528673462875,0.32026797320267975,0.6516646213362749
ECHDC3,-0.11933935922262119,0.32826717328267174,0.6563353823513194
PDS5A,-0.11933935922262123,0.3330666933306669,0.6597390067444868
AKR7L,-0.11950184851657035,0.42555744425557446,0.7215951774988246
KAT6A,-0.11958008410254585,0.43085691430856915,0.7232173719170752
NEURL1B,-0.119586102224544,0.31756824317568244,0.6490983195845084
S1PR2,-0.11977266400648551,0.31796820317968205,0.6492238718635457
MYADM,-0.11981479086047232,0.3681631836816318,0.6825379645694143
SUCO,-0.11993515330043464,0.30586941305869414,0.6398484503881218
PLIN5,-0.11999533452041578,0.40875912408759124,0.708128103178842
SH3GL1,-0.12006755198439314,0.39246075392460755,0.6973746683705501
GALM,-0.12009764259438371,0.31556844315568444,0.6477724183696161
GLI3,-0.12009764259438375,0.41585841415858416,0.7136815611819856
IDH2,-0.12018189630235732,0.40775922407759224,0.7068748040450192
LOH12CR2,-0.12019393254635356,0.46525347465253475,0.7415249125409503
TMEM132D,-0.1202119869123479,0.3113688631136886,0.6443574898173613
EIF1,-0.12029022249832341,0.42345765423457654,0.719934323057056
ATXN10,-0.12032633123031207,0.3785621437856214,0.6871628502081168
TMEM263,-0.12050085676825742,0.3695630436956304,0.6827837447469126
RAP2B,-0.1205790923542329,0.3528647135286471,0.6708364851247217
C12orf4,-0.1206031648422254,0.44915508449155084,0.7323215214587292
PJA1,-0.12063927357421408,0.3116688331166883,0.6445973628574052
ZNF71,-0.12066334606220652,0.23687631236876314,0.5848336633990286
CEP170B,-0.12077167225817259,0.40705929407059294,0.7062998970403797
SLC25A1,-0.1209823065281066,0.2970702929707029,0.6316037187855494
RBBP7,-0.12106054211408215,0.3330666933306669,0.6597390067444868
ORMDL2,-0.1210906327240727,0.3267673232676732,0.655671497982297
C14orf132,-0.12116886831004822,0.3454654534546545,0.6668509042402251
LOC100240735,-0.12117488643204631,0.4022597740225977,0.7016371333996402
