gene,rho,p_spin,p_fdr,p_maxt
ANKRD29,-0.0594210650116891,0.7077292270772922,0.8787895696426795,1.0
UBFD1,-0.05946318627296321,0.6057394260573943,0.8362169542584978,1.0
HLA-F,-0.059493272888158984,0.581041895810419,0.8260376482270245,1.0
TDRD3,-0.05952335950335477,0.6647335266473353,0.8620918127967422,1.0
OAT,-0.0595534461185506,0.5960403959604039,0.8315077913816474,1.0
SLX4IP,-0.05961361934894217,0.6135386461353864,0.8393777378055421,1.0
PPP1R14B,-0.059667775256294596,0.7093290670932907,0.8790082963988487,1.0
SNX12,-0.05983024297835186,0.6577342265773423,0.8605973247779282,1.0
MAX,-0.05998067605433086,0.7077292270772922,0.8787895696426795,1.0
OXCT1,-0.05999271070040914,0.6965303469653035,0.873921276501725,1.0
TRIM37,-0.060016779992565765,0.6281371862813718,0.8466019121852437,1.0
SH3BGRL,-0.0600167799925658,0.694930506949305,0.8733601488286367,1.0
ZDHHC3,-0.06003483196168325,0.6162383761623837,0.8410096545940496,1.0
GMCL1,-0.06005288393080074,0.7023297670232976,0.8771077008797656,1.0
HS3ST2,-0.06008898786903567,0.6280371962803719,0.8466019121852437,1.0
PMPCB,-0.06020331700677969,0.6280371962803719,0.8466019121852437,1.0
NKX3-1,-0.06020933432981887,0.6748325167483251,0.8646458333458571,1.0
CAMTA2,-0.06023340362197549,0.6286371362863714,0.8466019121852437,1.0
CDKL5,-0.060305611498445384,0.6759324067593241,0.8649318584991684,1.0
USB1,-0.060341715436680335,0.5784421557844216,0.8240437100420717,1.0
BAG5,-0.060353750082758645,0.624937506249375,0.8447780530371355,1.0
WFDC2,-0.060383836697954434,0.704929507049295,0.8773542947310587,1.0
PRDM10,-0.06054630442001172,0.6217378262173783,0.8439683092178931,1.0
C6orf136,-0.060558339066090004,0.6155384461553844,0.8406265620101098,1.0
NEFM,-0.06068470284991236,0.6779322067793221,0.8657246791965278,1.0
CCDC91,-0.06070877214206898,0.6236376362363764,0.8445092990700929,1.0
FAM78B,-0.06093141309451784,0.6735326467353264,0.8646017406627539,1.0
ECSIT,-0.06099760364794864,0.6702329767023297,0.8633673855954446,1.0
KRT19,-0.06105777687834021,0.7331266873312668,0.886483073004175,1.0
CCL2,-0.06107582884745763,0.6702329767023297,0.8633673855954446,1.0
USP45,-0.06108184617049683,0.6644335566443356,0.8620103821823502,1.0
ARHGAP27P1,-0.06109388081657514,0.6946305369463054,0.8733601488286367,1.0
OSBPL3,-0.061093880816575144,0.6885311468853115,0.8698787508829418,1.0
SMPD3,-0.061099898139614285,0.6066393360663933,0.8368190684077377,1.0
FAM167B,-0.061123967431770926,0.6564343565643436,0.8594672193473604,1.0
PRRT3,-0.06115405404696673,0.6901309869013099,0.8711824670067556,1.0
KRTAP5-6,-0.061172106016084166,0.5936406359364064,0.8314871580774721,1.0
CUL4B,-0.061190157985201665,0.6094390560943905,0.8377669214818583,1.0
TOP1,-0.06120820995431915,0.6633336666333367,0.8617495296540808,1.0
ARHGAP18,-0.0612322792464758,0.6507349265073493,0.8557886069466416,1.0
LZTS3,-0.06126236586167159,0.7006299370062994,0.8763051975161081,1.0
LINGO2,-0.06129846979990648,0.6617338266173383,0.8615200576990147,1.0
COL4A3BP,-0.06132855641510232,0.617038296170383,0.8413832028227777,1.0
TAF8,-0.061394746968533045,0.630936906309369,0.8466019121852437,1.0
LAMP5,-0.061454920198924595,0.6743325667433256,0.8646458333458571,1.0
ASAP1-IT1,-0.06157526665970779,0.6594340565943405,0.86076569334217,1.0
SIRT3,-0.06161738792098192,0.6935306469353064,0.8728880968155235,1.0
SLX4,-0.061647474536177686,0.6136386361363864,0.8393777378055421,1.0
SKI,-0.06165349185921691,0.6314368563143685,0.8466019121852437,1.0
TRIO,-0.061767820996960876,0.6612338766123388,0.8613559500028259,1.0
PDSS1,-0.061797907612156665,0.6583341665833417,0.8606482116404005,1.0
C11orf80,-0.06184002887343078,0.5973402659734026,0.8322496845847561,1.0
ANP32AP1,-0.06201453124156639,0.6304369563043696,0.8466019121852437,1.0
VAV2,-0.06208072179499709,0.6742325767423257,0.8646458333458571,1.0
CALM2,-0.06216496431754533,0.561043895610439,0.8154645971825029,1.0
PLEKHA4,-0.062243189517054376,0.6827317268273173,0.8687047685410624,1.0
SNX8,-0.06229734542440681,0.6541345865413458,0.8577742225777423,1.0
IRS1,-0.06244176117734663,0.6623337666233376,0.8617495296540808,1.0
GRWD1,-0.06251396905381651,0.6688331166883311,0.8631752752144141,1.0
PCDH12,-0.06256210763812978,0.663033696630337,0.8617495296540808,1.0
RPL4,-0.06270652339106958,0.712928707129287,0.8798150107769146,1.0
NALCN,-0.0627366100062654,0.6761323867613239,0.8650107142028836,1.0
ANKRD34C,-0.06281483520577448,0.7051294870512949,0.8773542947310587,1.0
ZCCHC3,-0.0630374761582233,0.6922307769223077,0.8722539935919336,1.0
ANGPTL2,-0.0630374761582233,0.6696330366963303,0.8631752752144141,1.0
CRYBG3,-0.06327816907978961,0.6448355164483551,0.8526064246734218,1.0
CSTF3,-0.0633804635714553,0.6324367563243676,0.8466940391475688,1.0
MED24,-0.06339249821753364,0.622937706229377,0.8441439904764161,1.0
HAPLN4,-0.06342258483272947,0.7015298470152985,0.8769123087691232,1.0
SLFN5,-0.06347072341704268,0.6678332166783322,0.8631752752144141,1.0
GFM1,-0.06350682735527766,0.6217378262173783,0.8439683092178931,1.0
SNTB2,-0.06360310452390419,0.5534446555344466,0.8113210459618923,1.0
R3HDM1,-0.06367531240037408,0.6674332566743326,0.8631752752144141,1.0
RBM3,-0.0636873470464524,0.7028297170282972,0.8771077008797656,1.0
MCOLN1,-0.06372946830772651,0.6402359764023597,0.8500276854779468,1.0
C1orf21,-0.06381972815331388,0.6619338066193381,0.8615200576990147,1.0
GBE1,-0.0638317627993922,0.6377362263773623,0.8495027537885322,1.0
SH3BP5,-0.06397617855233201,0.5354464553544646,0.8011649605170112,1.0
NMRK1,-0.06403033445968441,0.5855414458554145,0.8284298782511129,1.0
TRAF3IP1,-0.0640363517827236,0.6221377862213778,0.8439683092178931,1.0
MTFP1,-0.06427102738125079,0.6667333266673333,0.8630312546414443,1.0
ENPP4,-0.06430111399644658,0.5794420557944205,0.8248553392619165,1.0
PARGP1,-0.06433120061164235,0.6711328867113289,0.8633673855954446,1.0
PRKCA,-0.06441544313419058,0.6531346865313469,0.8570646784765493,1.0
