gene,rho,p_spin,p_fdr
THOC2,0.2430843084308431,0.1655834416558344,0.9999000099990001
CDH3,0.24288028802880293,0.3163683631636836,0.9999000099990001
CITED4,0.24214821482148213,0.2632736726327367,0.9999000099990001
VPS37B,0.2418601860186019,0.30056994300569945,0.9999000099990001
ZNF677,0.24116411641164123,0.29717028297170284,0.9999000099990001
CHTF18,0.24022802280228026,0.2440755924407559,0.9999000099990001
SDF2L1,0.24016801680168023,0.265973402659734,0.9999000099990001
MAP2K6,0.23992799279927995,0.16718328167183283,0.9999000099990001
TRAIP,0.23930393039303932,0.31286871312868714,0.9999000099990001
ZNF667,0.23824782478247825,0.24327567243275672,0.9999000099990001
LANCL3,0.2381638163816382,0.1695830416958304,0.9999000099990001
ARMC1,0.23761176117611765,0.13068693130686931,0.9999000099990001
ZZZ3,0.23713171317131715,0.2221777822217778,0.9999000099990001
STRIP2,0.236999699969997,0.22807719228077192,0.9999000099990001
UXS1,0.23691569156915696,0.1151884811518848,0.9999000099990001
C6orf226,0.23683168316831688,0.10738926107389261,0.9999000099990001
DENND1C,0.23674767476747677,0.24497550244975502,0.9999000099990001
ACTR5,0.2365196519651966,0.24437556244375563,0.9999000099990001
MATN2,0.2363756375637564,0.2826717328267173,0.9999000099990001
LOC729683,0.23617161716171622,0.31096890310968905,0.9999000099990001
MPV17L,0.23612361236123613,0.1207879212078792,0.9999000099990001
ZDHHC14,0.23599159915991602,0.31296870312968705,0.9999000099990001
EVI2B,0.23553555355535558,0.11588841115888411,0.9999000099990001
NIM1K,0.23548754875487551,0.1872812718728127,0.9999000099990001
RCAN1,0.2354395439543955,0.21437856214378562,0.9999000099990001
USP32P1,0.2352475247524753,0.27887211278872115,0.9999000099990001
TMOD1,0.23438343834383443,0.18908109189081093,0.9999000099990001
FRY,0.23403540354035404,0.2191780821917808,0.9999000099990001
ALCAM,0.23327932793279332,0.23757624237576241,0.9999000099990001
CRLS1,0.23289528952895294,0.21057894210578942,0.9999000099990001
MEIS2,0.2325112511251125,0.2156784321567843,0.9999000099990001
C10orf88,0.23249924992499252,0.1942805719428057,0.9999000099990001
CEP72,0.2316711671167117,0.24517548245175483,0.9999000099990001
MALL,0.23144314431443147,0.21237876212378762,0.9999000099990001
PEX1,0.2312511251125113,0.20887911208879112,0.9999000099990001
MLIP,0.2310231023102311,0.2983701629837016,0.9999000099990001
SHANK2,0.23066306630663075,0.25377462253774624,0.9999000099990001
TNFSF13B,0.23044704470447047,0.25047495250474955,0.9999000099990001
HNRNPH3,0.22889888988898893,0.072992700729927,0.9999000099990001
PCOLCE2,0.22888688868886894,0.27957204279572045,0.9999000099990001
ZIC3,0.2287428742874288,0.29587041295870414,0.9999000099990001
ATF7IP2,0.2283708370837084,0.30716928307169283,0.9999000099990001
TTC9B,0.22719471947194722,0.3668633136686331,0.9999000099990001
CHUK,0.22717071707170716,0.12068793120687932,0.9999000099990001
ZNF711,0.22702670267026706,0.3290670932906709,0.9999000099990001
BTG3,0.2267626762676268,0.396960303969603,0.9999000099990001
LINC00643,0.22661866186618662,0.2233776622337766,0.9999000099990001
ADM5,0.22603060306030603,0.4500549945005499,0.9999000099990001
MYO16,0.22561056105610566,0.36336366363363665,0.9999000099990001
MARCH3,0.22559855985598562,0.26507349265073493,0.9999000099990001
LRFN4,0.2252865286528653,0.1957804219578042,0.9999000099990001
LPCAT3,0.22390639063906392,0.3337666233376662,0.9999000099990001
ASPHD2,0.22365436543654366,0.4216578342165783,0.9999000099990001
SLC52A2,0.22276627662766282,0.2211778822117788,0.9999000099990001
IGF2BP2,0.2224422442244225,0.09969003099690031,0.9999000099990001
IL1RAPL1,0.22177017701770183,0.26647335266473354,0.9999000099990001
WDR44,0.22151815181518153,0.2726727327267273,0.9999000099990001
RNGTT,0.22102610261026107,0.22927707229277072,0.9999000099990001
ANKRD49,0.22093009300930094,0.30246975302469753,0.9999000099990001
CHRNA2,0.22022202220222026,0.25377462253774624,0.9999000099990001
THAP8,0.2201860186018602,0.2608739126087391,0.9999000099990001
ZNF286A,0.21954995499549956,0.23777622237776222,0.9999000099990001
DAPK1-IT1,0.21953795379537958,0.24797520247975202,0.9999000099990001
PABPC1,0.2194659465946595,0.22357764223577642,0.9999000099990001
MARCH1,0.21930993099309937,0.41705829417058293,0.9999000099990001
SLC50A1,0.21929792979297935,0.20377962203779623,0.9999000099990001
LOXL2,0.21921392139213924,0.21137886211378862,0.9999000099990001
TRIM14,0.21898589858985903,0.36536346365363465,0.9999000099990001
TRPV2,0.21890189018901896,0.45525447455254475,0.9999000099990001
MEIS1,0.2188298829882989,0.23177682231776822,0.9999000099990001
SAMD5,0.21874587458745878,0.36426357364263573,0.9999000099990001
CHRNA3,0.21770177017701772,0.4082591740825917,0.9999000099990001
FNDC9,0.21761776177617764,0.403959604039596,0.9999000099990001
TRAF5,0.21699369936993704,0.24927507249275072,0.9999000099990001
PPP1R35,0.21698169816981702,0.1718828117188281,0.9999000099990001
BTC,0.216981698169817,0.2782721727827217,0.9999000099990001
DCAF4,0.21688568856885695,0.3227677232276772,0.9999000099990001
GPR137C,0.2167656765676568,0.31356864313568644,0.9999000099990001
BLM,0.21636963696369643,0.30616938306169383,0.9999000099990001
SETD3,0.2162616261626163,0.23027697230276972,0.9999000099990001
CSAD,0.21572157215721574,0.1615838416158384,0.9999000099990001
LRRC61,0.21558955895589565,0.3715628437156284,0.9999000099990001
C17orf100,0.2152415241524153,0.16198380161983802,0.9999000099990001
PTTG2,0.21486948694869487,0.2385761423857614,0.9999000099990001
ST8SIA4,0.2147134713471347,0.36996300369963003,0.9999000099990001
CES4A,0.21419741974197426,0.30156984301569845,0.9999000099990001
PXDN,0.21351335133513363,0.3722627737226277,0.9999000099990001
TBC1D31,0.21329732973297327,0.14178582141785823,0.9999000099990001
CHAF1B,0.21288928892889294,0.3330666933306669,0.9999000099990001
NELL1,0.2128532853285329,0.35376462353764626,0.9999000099990001
ZNF615,0.21272127212721276,0.2793720627937206,0.9999000099990001
RAB23,0.21251725172517255,0.2836716328367163,0.9999000099990001
CDH8,0.21251725172517255,0.3086691330866913,0.9999000099990001
MLF1,0.21243324332433247,0.25107489251074894,0.9999000099990001
OTUD4,0.21225322532253227,0.2870712928707129,0.9999000099990001
HELLS,0.21222922292229224,0.37176282371762825,0.9999000099990001
ARID1A,0.21197719771977203,0.30786921307869214,0.9999000099990001
HECW2,0.21184518451845186,0.2976702329767023,0.9999000099990001
APOC1,0.21120912091209124,0.3428657134286571,0.9999000099990001
TMEM18,0.21072907290729076,0.41325867413258677,0.9999000099990001
EDIL3,0.21058505850585063,0.23637636236376364,0.9999000099990001
ALG10B,0.2105610561056106,0.2596740325967403,0.9999000099990001
CALCRL,0.2102610261026103,0.29787021297870214,0.9999000099990001
AUNIP,0.20992499249924995,0.3047695230476952,0.9999000099990001
COL24A1,0.2097809780978098,0.28517148285171484,0.9999000099990001
FAM117B,0.20970897089708973,0.33956604339566043,0.9999000099990001
SLC26A6,0.20949294929492954,0.11278872112788721,0.9999000099990001
PTPN3,0.20927692769276932,0.40505949405059494,0.9999000099990001
CCEPR,0.2091689168916892,0.3183681631836816,0.9999000099990001
KLRC3,0.20901290129012906,0.1466853314668533,0.9999000099990001
WDR1,0.208964896489649,0.28017198280171984,0.9999000099990001
CRNKL1,0.20854485448544857,0.294970502949705,0.9999000099990001
TMEM216,0.20853285328532856,0.15578442155784422,0.9999000099990001
FAM20A,0.20841284128412843,0.43695630436956306,0.9999000099990001
PTTG1,0.20822082208220827,0.24127587241275872,0.9999000099990001
C1orf35,0.20805280528052808,0.13688631136886312,0.9999000099990001
FCHO1,0.20795679567956799,0.20887911208879112,0.9999000099990001
RPL30,0.20783678367836786,0.1381861813818618,0.9999000099990001
NSD3,0.20727272727272728,0.26587341265873415,0.9999000099990001
BHLHE41,0.20648064806480648,0.26947305269473054,0.9999000099990001
MDC1,0.20646864686468652,0.250974902509749,0.9999000099990001
KCNH4,0.20606060606060614,0.39236076392360764,0.9999000099990001
TTC30B,0.20583258325832587,0.26307369263073693,0.9999000099990001
ZBTB18,0.20518451845184524,0.1352864713528647,0.9999000099990001
RGS8,0.2051605160516052,0.2501749825017498,0.9999000099990001
PLCH2,0.20504050405040508,0.37306269373062695,0.9999000099990001
CDCA8,0.2048724872487249,0.23027697230276972,0.9999000099990001
ZKSCAN5,0.20475247524752477,0.23567643235676433,0.9999000099990001
SUCO,0.20440444044404443,0.30656934306569344,0.9999000099990001
WDR97,0.20430843084308437,0.5457454254574543,0.9999000099990001
GPR6,0.2042484248424843,0.41955804419558046,0.9999000099990001
IP6K1,0.20387638763876387,0.15948405159484053,0.9999000099990001
NDC1,0.20333633363336337,0.25377462253774624,0.9999000099990001
TAF1A,0.20295229522952302,0.29147085291470853,0.9999000099990001
C21orf91,0.20279627962796282,0.1493850614938506,0.9999000099990001
ILDR2,0.20276027602760274,0.26907309269073093,0.9999000099990001
ABCB8,0.20264026402640267,0.21527847215278473,0.9999000099990001
