parcellation,parcel_index,parcel_name,hemisphere,baseline_oef,baseline_cbf,baseline_cmro2,coupling_n_angle,discordance_risk,discordance_risk_extraction,discordance_risk_overshoot,discordance_risk_n,dropout_snr_coverage,venous_partial_volume,map_reliability_coupling,n_subjects_coupling,baseline_source,coupling_source,ahba_n_samples
schaefer200x7,31,7Networks_LH_DorsAttn_Post_1,L,0.5202653408050537,26.337047576904297,101.86489868164062,0.8405628783133581,0.375,0.3,0.075,40,0.8731343150138855,0.0106480456888675,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,20
schaefer200x7,32,7Networks_LH_DorsAttn_Post_2,L,0.40985307097435,45.37798690795898,143.60411071777344,0.3616826241868398,0.725,0.3,0.425,40,0.6785714030265808,0.0072418972849845,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,13
schaefer200x7,33,7Networks_LH_DorsAttn_Post_3,L,0.3939360976219177,49.55833053588867,149.59213256835938,0.9739480899780362,0.4,0.2,0.2,40,0.8522727489471436,0.0095499968156218,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,4
schaefer200x7,34,7Networks_LH_DorsAttn_Post_4,L,0.3221023976802826,46.88288879394531,114.95523071289062,-0.0953674619785344,0.725,0.375,0.35,40,0.6428571343421936,0.021192766726017,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,6
schaefer200x7,35,7Networks_LH_DorsAttn_Post_5,L,0.3133584260940552,47.29820251464844,112.53072357177734,-0.3289729420811558,0.75,0.4,0.35,40,0.726190447807312,0.0097816446796059,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,3
schaefer200x7,36,7Networks_LH_DorsAttn_Post_6,L,0.3164686560630798,46.357696533203125,109.98733520507812,0.3806713244493708,0.8,0.325,0.475,40,0.6301369667053223,0.022204415872693,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,7
schaefer200x7,37,7Networks_LH_DorsAttn_Post_7,L,0.4557105004787445,43.016056060791016,155.32257080078125,0.9715362966451948,0.475,0.225,0.25,40,0.3645833432674408,0.0116432523354887,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,10
schaefer200x7,38,7Networks_LH_DorsAttn_Post_8,L,0.4226680099964142,42.47952651977539,138.85842895507812,0.8370386948295983,0.675,0.275,0.4,40,0.4675324559211731,0.0178124830126762,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,5
schaefer200x7,39,7Networks_LH_DorsAttn_Post_9,L,0.3297149240970611,41.070011138916016,107.35491180419922,0.1068877749299607,0.7,0.35,0.35,40,0.5876288414001465,0.0157302375882864,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,6
schaefer200x7,40,7Networks_LH_DorsAttn_Post_10,L,0.3715936839580536,40.46318435668945,113.73503112792967,0.1836156910775171,0.725,0.45,0.275,40,0.3653846085071563,0.0024073221720755,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,8
