parcellation,parcel_index,gene_set,score_median,score_q1,score_q3,n_cells,n_genes_present,n_genes_frozen
schaefer200x7,90,HALLMARK_GLYCOLYSIS,0.03684450230347858,-0.00228715285902491,0.06806010605369335,12,181,200
schaefer200x7,91,HALLMARK_GLYCOLYSIS,0.08853344534734336,0.057650075063133244,0.1302247410209673,12,181,200
schaefer200x7,92,HALLMARK_GLYCOLYSIS,0.12651568277225894,0.11074000057844363,0.1561837112893309,12,181,200
schaefer200x7,93,HALLMARK_GLYCOLYSIS,0.10902744687645399,-0.014276195402362322,0.16848287219737815,12,181,200
schaefer200x7,94,HALLMARK_GLYCOLYSIS,0.2699911763758154,0.18284489316160196,0.31475838957977786,12,181,200
schaefer200x7,95,HALLMARK_GLYCOLYSIS,-0.17811568177761178,-0.20053248844303212,-0.12288236188254849,12,181,200
schaefer200x7,96,HALLMARK_GLYCOLYSIS,-0.30776426104085824,-0.3943189793427668,-0.2509045448898536,12,181,200
schaefer200x7,97,HALLMARK_GLYCOLYSIS,-0.1803016766585505,-0.21606888868559837,-0.14085997436468706,12,181,200
schaefer200x7,98,HALLMARK_GLYCOLYSIS,0.19267890715927088,0.09814699905370175,0.22212893327580513,12,181,200
schaefer200x7,99,HALLMARK_GLYCOLYSIS,-0.1524830473435772,-0.3091681218420801,-0.12844853219324284,12,181,200
schaefer200x7,100,HALLMARK_GLYCOLYSIS,0.03632165728294587,-0.005240070105355635,0.0893236110162439,12,181,200
schaefer200x7,1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.4941389371484268,-0.5760063047144829,-0.44442229492286844,12,199,200
schaefer200x7,2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.6824325907222593,-0.8113061182460781,-0.6067168157295054,12,199,200
schaefer200x7,3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.8054685153707456,-0.8884710246982641,-0.672708071164395,12,199,200
schaefer200x7,4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.6311998414541201,-0.7458799662990379,-0.6020521150483681,12,199,200
schaefer200x7,5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.05441920991429201,-0.20525743720552395,-0.004006782320678836,12,199,200
schaefer200x7,6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.36129429586812,-0.41157551667916215,-0.30231370224712606,12,199,200
schaefer200x7,7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.6201765890361869,-0.7815792685721505,-0.5082958481129016,12,199,200
schaefer200x7,8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.4905222828746812,-0.5515406346343954,-0.38853199825866436,12,199,200
schaefer200x7,9,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-1.7381579580172883,-1.8504596091280636,-0.7100865678640577,12,199,200
schaefer200x7,10,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.5427099005660729,-0.6590808716402117,-0.46795679853037486,12,199,200
schaefer200x7,11,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.04012788548576561,-0.08699435089833114,0.062301118648392904,12,199,200
schaefer200x7,12,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.1907994619319739,-0.37923746738133524,0.5512405118190066,12,199,200
schaefer200x7,13,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.1797958405244126,-0.23572636099135139,-0.11351621879471271,12,199,200
schaefer200x7,14,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.7470972238738741,-0.8209728508045175,0.21494083386745994,12,199,200
schaefer200x7,15,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.03897273309115351,-0.10181987716911278,-0.02292686832287583,12,199,200
schaefer200x7,16,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.07022114718379391,-0.13312464996218518,-0.008250512807457306,12,199,200
schaefer200x7,17,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.19285263968139515,0.10187103429717456,0.3324046097604324,12,199,200
